sweep: 528 runs total → bench/results.csv [device=cuda]
[187/528] p2 × racaso × lr=0.0003 × seed=0
[188/528] p2 × racaso × lr=0.0003 × seed=1
[189/528] p2 × racaso × lr=0.0003 × seed=2
[190/528] p2 × racaso × lr=0.001 × seed=0
[191/528] p2 × racaso × lr=0.001 × seed=1
[192/528] p2 × racaso × lr=0.001 × seed=2
[193/528] p3 × adam × lr=0.0001 × seed=0
[194/528] p3 × adam × lr=0.0001 × seed=1
[195/528] p3 × adam × lr=0.0001 × seed=2
[196/528] p3 × adam × lr=0.0003 × seed=0
[197/528] p3 × adam × lr=0.0003 × seed=1
[198/528] p3 × adam × lr=0.0003 × seed=2
[199/528] p3 × adam × lr=0.001 × seed=0
[200/528] p3 × adam × lr=0.001 × seed=1
[201/528] p3 × adam × lr=0.001 × seed=2
[202/528] p3 × adam × lr=0.003 × seed=0
[203/528] p3 × adam × lr=0.003 × seed=1
[204/528] p3 × adam × lr=0.003 × seed=2
[205/528] p3 × adamw × lr=0.0001 × seed=0
[206/528] p3 × adamw × lr=0.0001 × seed=1
[207/528] p3 × adamw × lr=0.0001 × seed=2
[208/528] p3 × adamw × lr=0.0003 × seed=0
[209/528] p3 × adamw × lr=0.0003 × seed=1
[210/528] p3 × adamw × lr=0.0003 × seed=2
[211/528] p3 × adamw × lr=0.001 × seed=0
[212/528] p3 × adamw × lr=0.001 × seed=1
[213/528] p3 × adamw × lr=0.001 × seed=2
[214/528] p3 × adamw × lr=0.003 × seed=0
[215/528] p3 × adamw × lr=0.003 × seed=1
[216/528] p3 × adamw × lr=0.003 × seed=2
[217/528] p3 × yogi × lr=0.0001 × seed=0
[218/528] p3 × yogi × lr=0.0001 × seed=1
[219/528] p3 × yogi × lr=0.0001 × seed=2
[220/528] p3 × yogi × lr=0.0003 × seed=0
[221/528] p3 × yogi × lr=0.0003 × seed=1
[222/528] p3 × yogi × lr=0.0003 × seed=2
[223/528] p3 × yogi × lr=0.001 × seed=0
[224/528] p3 × yogi × lr=0.001 × seed=1
[225/528] p3 × yogi × lr=0.001 × seed=2
[226/528] p3 × yogi × lr=0.003 × seed=0
[227/528] p3 × yogi × lr=0.003 × seed=1
[228/528] p3 × yogi × lr=0.003 × seed=2
[229/528] p3 × lion × lr=1e-05 × seed=0
[230/528] p3 × lion × lr=1e-05 × seed=1
[231/528] p3 × lion × lr=1e-05 × seed=2
[232/528] p3 × lion × lr=3e-05 × seed=0
[233/528] p3 × lion × lr=3e-05 × seed=1
[234/528] p3 × lion × lr=3e-05 × seed=2
[235/528] p3 × lion × lr=0.0001 × seed=0
[236/528] p3 × lion × lr=0.0001 × seed=1
[237/528] p3 × lion × lr=0.0001 × seed=2
[238/528] p3 × lion × lr=0.0003 × seed=0
[239/528] p3 × lion × lr=0.0003 × seed=1
[240/528] p3 × lion × lr=0.0003 × seed=2
[241/528] p3 × liger × lr=1e-05 × seed=0
[242/528] p3 × liger × lr=1e-05 × seed=1
[243/528] p3 × liger × lr=1e-05 × seed=2
[244/528] p3 × liger × lr=3e-05 × seed=0
[245/528] p3 × liger × lr=3e-05 × seed=1
[246/528] p3 × liger × lr=3e-05 × seed=2
[247/528] p3 × liger × lr=0.0001 × seed=0
[248/528] p3 × liger × lr=0.0001 × seed=1
[249/528] p3 × liger × lr=0.0001 × seed=2
[250/528] p3 × liger × lr=0.0003 × seed=0
[251/528] p3 × liger × lr=0.0003 × seed=1
[252/528] p3 × liger × lr=0.0003 × seed=2
[253/528] p3 × muogi × lr=3e-05 × seed=0
[254/528] p3 × muogi × lr=3e-05 × seed=1
[255/528] p3 × muogi × lr=3e-05 × seed=2
[256/528] p3 × muogi × lr=0.0001 × seed=0
[257/528] p3 × muogi × lr=0.0001 × seed=1
[258/528] p3 × muogi × lr=0.0001 × seed=2
[259/528] p3 × muogi × lr=0.0003 × seed=0
[260/528] p3 × muogi × lr=0.0003 × seed=1
[261/528] p3 × muogi × lr=0.0003 × seed=2
[262/528] p3 × muogi × lr=0.001 × seed=0
[263/528] p3 × muogi × lr=0.001 × seed=1
[264/528] p3 × muogi × lr=0.001 × seed=2
[265/528] p3 × ramuogi × lr=3e-05 × seed=0
[266/528] p3 × ramuogi × lr=3e-05 × seed=1
[267/528] p3 × ramuogi × lr=3e-05 × seed=2
[268/528] p3 × ramuogi × lr=0.0001 × seed=0
[269/528] p3 × ramuogi × lr=0.0001 × seed=1
[270/528] p3 × ramuogi × lr=0.0001 × seed=2
[271/528] p3 × ramuogi × lr=0.0003 × seed=0
[272/528] p3 × ramuogi × lr=0.0003 × seed=1
[273/528] p3 × ramuogi × lr=0.0003 × seed=2
[274/528] p3 × ramuogi × lr=0.001 × seed=0
[275/528] p3 × ramuogi × lr=0.001 × seed=1
[276/528] p3 × ramuogi × lr=0.001 × seed=2
[277/528] p3 × racaso × lr=3e-05 × seed=0
[278/528] p3 × racaso × lr=3e-05 × seed=1
[279/528] p3 × racaso × lr=3e-05 × seed=2
[280/528] p3 × racaso × lr=0.0001 × seed=0
[281/528] p3 × racaso × lr=0.0001 × seed=1
[282/528] p3 × racaso × lr=0.0001 × seed=2
[283/528] p3 × racaso × lr=0.0003 × seed=0
[284/528] p3 × racaso × lr=0.0003 × seed=1
[285/528] p3 × racaso × lr=0.0003 × seed=2
[286/528] p3 × racaso × lr=0.001 × seed=0
[287/528] p3 × racaso × lr=0.001 × seed=1
[288/528] p3 × racaso × lr=0.001 × seed=2
[289/528] p4 × adam × lr=0.0001 × seed=0
[290/528] p4 × adam × lr=0.0001 × seed=1
[291/528] p4 × adam × lr=0.0001 × seed=2
[292/528] p4 × adam × lr=0.0003 × seed=0
[293/528] p4 × adam × lr=0.0003 × seed=1
[294/528] p4 × adam × lr=0.0003 × seed=2
[295/528] p4 × adam × lr=0.001 × seed=0
[296/528] p4 × adam × lr=0.001 × seed=1
[297/528] p4 × adam × lr=0.001 × seed=2
[298/528] p4 × adam × lr=0.003 × seed=0
[299/528] p4 × adam × lr=0.003 × seed=1
[300/528] p4 × adam × lr=0.003 × seed=2
[301/528] p4 × adamw × lr=0.0001 × seed=0
[302/528] p4 × adamw × lr=0.0001 × seed=1
[303/528] p4 × adamw × lr=0.0001 × seed=2
[304/528] p4 × adamw × lr=0.0003 × seed=0
[305/528] p4 × adamw × lr=0.0003 × seed=1
[306/528] p4 × adamw × lr=0.0003 × seed=2
[307/528] p4 × adamw × lr=0.001 × seed=0
[308/528] p4 × adamw × lr=0.001 × seed=1
[309/528] p4 × adamw × lr=0.001 × seed=2
[310/528] p4 × adamw × lr=0.003 × seed=0
[311/528] p4 × adamw × lr=0.003 × seed=1
[312/528] p4 × adamw × lr=0.003 × seed=2
[313/528] p4 × yogi × lr=0.0001 × seed=0
[314/528] p4 × yogi × lr=0.0001 × seed=1
[315/528] p4 × yogi × lr=0.0001 × seed=2
[316/528] p4 × yogi × lr=0.0003 × seed=0
[317/528] p4 × yogi × lr=0.0003 × seed=1
[318/528] p4 × yogi × lr=0.0003 × seed=2
[319/528] p4 × yogi × lr=0.001 × seed=0
[320/528] p4 × yogi × lr=0.001 × seed=1
[321/528] p4 × yogi × lr=0.001 × seed=2
[322/528] p4 × yogi × lr=0.003 × seed=0
[323/528] p4 × yogi × lr=0.003 × seed=1
[324/528] p4 × yogi × lr=0.003 × seed=2
[325/528] p4 × lion × lr=1e-05 × seed=0
[326/528] p4 × lion × lr=1e-05 × seed=1
[327/528] p4 × lion × lr=1e-05 × seed=2
[328/528] p4 × lion × lr=3e-05 × seed=0
[329/528] p4 × lion × lr=3e-05 × seed=1
[330/528] p4 × lion × lr=3e-05 × seed=2
[331/528] p4 × lion × lr=0.0001 × seed=0
[332/528] p4 × lion × lr=0.0001 × seed=1
[333/528] p4 × lion × lr=0.0001 × seed=2
[334/528] p4 × lion × lr=0.0003 × seed=0
[335/528] p4 × lion × lr=0.0003 × seed=1
[336/528] p4 × lion × lr=0.0003 × seed=2
[337/528] p4 × liger × lr=1e-05 × seed=0
[338/528] p4 × liger × lr=1e-05 × seed=1
[339/528] p4 × liger × lr=1e-05 × seed=2
[340/528] p4 × liger × lr=3e-05 × seed=0
[341/528] p4 × liger × lr=3e-05 × seed=1
[342/528] p4 × liger × lr=3e-05 × seed=2
[343/528] p4 × liger × lr=0.0001 × seed=0
[344/528] p4 × liger × lr=0.0001 × seed=1
[345/528] p4 × liger × lr=0.0001 × seed=2
[346/528] p4 × liger × lr=0.0003 × seed=0
[347/528] p4 × liger × lr=0.0003 × seed=1
[348/528] p4 × liger × lr=0.0003 × seed=2
[349/528] p4 × muogi × lr=3e-05 × seed=0
[350/528] p4 × muogi × lr=3e-05 × seed=1
[351/528] p4 × muogi × lr=3e-05 × seed=2
[352/528] p4 × muogi × lr=0.0001 × seed=0
[353/528] p4 × muogi × lr=0.0001 × seed=1
[354/528] p4 × muogi × lr=0.0001 × seed=2
[355/528] p4 × muogi × lr=0.0003 × seed=0
[356/528] p4 × muogi × lr=0.0003 × seed=1
[357/528] p4 × muogi × lr=0.0003 × seed=2
[358/528] p4 × muogi × lr=0.001 × seed=0
[359/528] p4 × muogi × lr=0.001 × seed=1
[360/528] p4 × muogi × lr=0.001 × seed=2
[361/528] p4 × ramuogi × lr=3e-05 × seed=0
[362/528] p4 × ramuogi × lr=3e-05 × seed=1
[363/528] p4 × ramuogi × lr=3e-05 × seed=2
[364/528] p4 × ramuogi × lr=0.0001 × seed=0
[365/528] p4 × ramuogi × lr=0.0001 × seed=1
[366/528] p4 × ramuogi × lr=0.0001 × seed=2
[367/528] p4 × ramuogi × lr=0.0003 × seed=0
[368/528] p4 × ramuogi × lr=0.0003 × seed=1
[369/528] p4 × ramuogi × lr=0.0003 × seed=2
[370/528] p4 × ramuogi × lr=0.001 × seed=0
[371/528] p4 × ramuogi × lr=0.001 × seed=1
[372/528] p4 × ramuogi × lr=0.001 × seed=2
[373/528] p4 × racaso × lr=3e-05 × seed=0
  ERROR: OutOfMemoryError: CUDA out of memory. Tried to allocate 64.00 MiB. GPU 0 has a total capacity of 19.57 GiB of which 24.00 MiB is free. Including non-PyTorch memory, this process has 19.54 GiB memory in use. Of the allocated memory 19.27 GiB is allocated by PyTorch, and 20.29 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[374/528] p4 × racaso × lr=3e-05 × seed=1
